Time,Infection,ALKATI1,ALKATI2,ALKATI3,Eml4Alk 1,Eml4Alk 2,Eml4Alk 3,Vector1,Vector2,Vector3
1,7-Mar,0,0,0,0,0,0,,,
2,7-Mar,3.321928095,3.321928095,3.321928095,3.321928095,3.321928095,3.321928095,,,
3,7-Mar,4.724026538,3.321928095,4.64385619,2.594946589,4.175086707,2.169925001,,,
4,7-Mar,5.038135129,2.401362562,4.247927513,2.824428435,3.27462238,2.906890596,,,
7,7-Mar,3.974004791,1.763932642,5.247927513,3.26052755,6.27462238,3.523561956,,,
8,7-Mar,2.684498174,0.178970141,1.584962501,4.351675438,5.615659298,4.64385619,,,
9,7-Mar,4.099535674,1.178970141,2.584962501,4.291554446,6.040157126,5.14974712,,,
10,7-Mar,4.215012891,1.401362562,3.321928095,5.409390936,6.883431623,4.832890014,,,
12,7-Mar,5.558967292,2.500898236,5.392317423,5.965784285,7.653134003,6.285402219,,,
13.5,7-Mar,6.468769483,4.117569596,5.658211483,6.965784285,8.952694285,7.515699838,,,
15,7-Mar,8.121903487,5.77391673,7.483815777,,,,,,
1,24-Nov,0,0,0,0,0,0,,,
2,24-Nov,0.691877705,0.823122238,0.206450877,0.584962501,0.115477217,0.736965594,,,
3.5,24-Nov,0.914270126,1.054447784,1.469485283,1.36923381,0.874469118,1.142957954,,,
5,24-Nov,0.7589919,0.884522783,0.943416472,1.36923381,0.874469118,1.415037499,,,
6,24-Nov,0.469485283,0.206450877,0.823122238,2.196397213,2.115477217,1.841302254,,,
9,24-Nov,2.838719093,1.657112286,1.387023123,3.544320516,3.321928095,3.64385619,,,
10,24-Nov,3,2.206450877,1.299560282,4.781359714,4.64385619,6.276124405,,,
11,24-Nov,3.054447784,2.206450877,4.489384841,7.511752654,7.491853096,7.764871591,,,
12.5,24-Nov,5.621488377,4.971985624,5.132450296,8.866248611,9.22881869,8.64385619,,,
1,1-Nov,0,0,0,0,0,0,0,0,0
2,1-Nov,-0.505235308,-0.434402824,-0.389946518,0,-0.229481846,0.38332864,-0.367731785,0,-0.275634443
4,1-Nov,-0.601450624,-0.888968688,-0.038474148,1.0489096,0.497499659,1.031026896,-1.736965594,-1.893084796,-1.131244533
5,1-Nov,-1.874469118,-1.736965594,-0.855610091,1,1.443918619,2.120294234,-2,-1.700439718,-1.064130337
6,1-Nov,-1.552541023,-2.736965594,-0.547487795,3.529390163,3.340478491,4.190683562,-4.321928095,-1.893084796,-2.523561956
7,1-Nov,-1.289506617,-1.395928676,-1.160464672,5.596472534,4.924183741,5.512611656,-4.321928095,-1.700439718,-2.938599455
8,1-Nov,-1.459431619,-2.473931188,-0.547487795,6.785875195,7.149612645,7.775646062,-2.736965594,-3.115477217,-3.523561956
9,1-Nov,-1.874469118,-1.251538767,-1.078002512,8.259986709,8.31194861,9.10897892,,,
10,1-Nov,-1.704544116,-0.689659879,-1.118644496,,,,,,
12,1-Nov,-2,0.263034406,-0.038474148,,,,-4.321928095,2.206450877,-4.523561956
13,1-Nov,-4.459431619,0.422233001,-0.415037499,,,,-12.96578428,4.0138058,-4.523561956
17,1-Nov,,,,,,, ,5.265344567,-13.16741815
1,20-Dec,0,0,0,,,,0,0,0
2,20-Dec,0,-0.415037499,-0.514573173,,,,,,
2.5,20-Dec,-0.621488377,-1,0,,,,,,
3.5,20-Dec,-1.321928095,-2,-2.321928095,,,,-1.321928095,-2,-2.736965594
6,20-Dec,-4.321928095,-6.64385619,-4.321928095,,,,,,
8,20-Dec,,,,,,,-3.321928095,-4.321928095,-4.321928095
